点评,环境,服务,口味,餐厅,城市,人均
beijing,胡大饭馆(簋街总店),15292,157,9.0,8.3,8.3
beijing,唐大龙虾,1840,147,9.1,9.1,9.2
beijing,蛙蛙叫干锅年代(东直门簋街店),8784,98,8.4,8.4,8.1
beijing,虾友虾道,146,98,8.6,8.3,8.7
beijing,辣家私厨(常营陆港城店),3,0,7.7,7.7,7.7
beijing,鏕小西小龙虾(望京店),336,124,8.4,9.1,8.6
beijing,巴湘锅龙虾坊,915,101,8.6,8.3,8.3
beijing,罗一味,184,87,8.0,7.8,7.3
beijing,辣家私厨(东坝店),2,0,6.8,6.8,7.2
beijing,麻六甲下酒菜(望京店),169,99,7.6,7.6,7.3
beijing,红辣椒(朝外店),1007,116,9.2,9.2,9.4
beijing,胡大饭馆(簋街五店),5079,166,9.0,9.0,8.8
beijing,簋街仔仔小龙虾(总店),3292,158,7.2,6.9,6.8
beijing,红巷子·胡大私藏菜馆(簋街店),3082,144,9.1,9.1,9.1
beijing,犟虾,698,125,9.1,9.0,9.1
beijing,麻小丨麻辣诱惑(西直门店),9605,116,8.5,8.6,8.5
beijing,虎虎湖北潜江油焖大虾(百子湾店),145,125,9.1,8.3,8.9
beijing,热辣生活(东方银座店),81,61,7.8,8.0,7.7
beijing,烧虾师(工体店),5271,202,8.5,8.8,8.3
beijing,麻小丨麻辣诱惑(双井店),6544,120,8.5,8.7,8.7
beijing,麻小丨麻辣诱惑(崇文门店),8678,116,8.3,8.5,8.3
beijing,哥们儿de小馆儿◆船头价海鲜(亦庄荣京丽都店),606,109,8.8,8.6,8.7
beijing,T9音乐串吧,139,85,8.0,8.1,8.2
beijing,汉口街头(国瑞城店),8523,88,8.3,8.8,8.5
beijing,沸炉鲜货火锅·小龙虾(牡丹园店),1925,111,9.1,9.0,9.1
beijing,鸭哒·鸭头蟹煲小龙虾(五道口清华店),619,92,8.6,9.0,9.1
beijing,麻小麻辣诱惑(五道口店),8277,107,8.5,8.8,8.7
beijing,KYOTO有一腿烤羊腿足球烧烤休闲吧,508,121,8.2,7.9,7.7
beijing,粤盛祥古法打边炉,1336,118,8.7,8.3,8.6
beijing,南京龙宫龙虾·美蛙鱼头(簋街店),526,169,8.8,8.8,8.2
beijing,俏饨之重庆烧烤江湖菜,376,97,9.0,8.1,8.5
beijing,麻小麻辣诱惑(万达店),8373,117,8.5,8.7,8.6
beijing,热辣生活(丰科万达店),99,58,8.9,8.6,8.3
beijing,辣家私厨(鸟巢安贞店),1454,127,8.3,8.1,8.3
beijing,316号•大众烧烤,124,79,8.5,7.9,8.3
beijing,唇辣号重庆老火锅(亦庄店),391,132,9.0,8.9,9.0
beijing,盖海小镇,130,82,9.0,9.1,9.0
beijing,热辣生活(大兴荟聚店),128,51,8.7,9.0,8.2
beijing,粒粒仓大排档·小龙虾(牡丹园翠微店),1620,83,8.7,8.4,8.2
beijing,木叔小鱼(梨园店),259,71,8.3,8.9,8.4
beijing,虾扒陈酿酒香小龙虾(望京店),116,123,8.8,9.0,8.7
beijing,麻小丨麻辣诱惑(清河店),4567,111,8.6,8.8,8.8
beijing,当面爱上小龙虾,213,60,8.5,8.9,8.9
beijing,蟹老宋香锅(方庄店),6264,92,8.3,7.8,8.0
beijing,虎虎湖北潜江油焖大虾,535,134,9.1,7.8,8.4
beijing,虾脑汇(青年路店),184,121,8.5,8.2,8.3
beijing,热辣生活(凯德MALL太阳宫店),299,44,8.9,9.1,9.0
beijing,胖子龙虾(花家地店),216,135,8.8,8.8,9.0
beijing,蟹老宋香锅(四道口店),1076,102,8.4,8.5,8.8
beijing,蟹老宋香锅(红庙店),6544,95,8.2,8.2,8.2
beijing,烧虾师(麒麟社新天地店),1651,169,8.2,8.8,8.5
beijing,热辣生活(怀柔万达店),33,61,8.2,8.1,8.1
beijing,麻小丨麻辣诱惑(长虹桥店),3804,127,8.3,8.2,8.5
beijing,麻小丨麻辣诱惑(朝阳大悦城店),376,124,8.2,8.5,8.4
beijing,串庭(好运街总店),1175,94,8.8,9.0,9.0
beijing,麻小丨麻辣诱惑(汉光店),8504,108,8.2,8.2,8.0
beijing,热辣生活(东方新天地店),98,63,8.6,8.4,8.9
beijing,虾神•於氏龙虾,127,112,8.5,8.3,8.6
beijing,巴湘锅龙虾坊,915,101,8.6,8.3,8.3
beijing,热辣生活(长楹天街购物中心店),336,59,8.6,8.8,8.6
beijing,虾匠手抓小龙虾(双井店),1234,137,8.6,8.4,8.1
beijing,热辣生活(万柳店),148,46,8.8,8.8,8.8
beijing,京东小海鲜,344,101,8.6,8.0,8.5
beijing,串通cLub烧烤(四路通店),331,80,8.1,8.7,8.5
beijing,非辣道川味火锅(北苑店),304,101,9.0,9.1,9.1
beijing,李大嘴餐饮·寂寞的豆芽(望京河荫中路店),319,98,8.3,8.6,8.2
beijing,湘榭丽舍,257,93,8.3,8.8,8.7
beijing,蒸汽小镇 蒸汽海鲜,557,101,8.1,8.0,8.2
beijing,菘蜀,800,101,8.2,8.2,7.6
beijing,辣私房(朝阳门总店),671,111,9.0,8.3,8.9
beijing,热辣生活(北辰购物中心店),17,0,7.4,7.6,7.5
beijing,蟹老宋香锅(西坝河店),7343,92,7.8,7.4,7.5
beijing,赵小柒串串香(黄寺店),480,90,8.7,8.3,8.7
beijing,1819餐馆,410,148,8.7,8.5,8.0
beijing,大虾来了,38,69,7.6,7.6,7.8
beijing,鏕小西小龙虾(望京店),336,124,8.4,9.1,8.6
beijing,串通cLub烧烤(十里堡店),1011,89,8.4,8.8,8.4
beijing,乐天虫音乐酒馆,283,101,8.8,9.1,9.1
beijing,食尖兒小龙虾(鲁谷店),1610,120,8.6,8.4,8.6
beijing,热辣生活(华联天通苑店),92,38,8.8,8.9,9.0
beijing,阿静粤菜,1070,99,7.7,7.6,7.7
beijing,沸炉鲜货火锅·小龙虾(东直门店),519,126,8.9,8.9,9.1
beijing,贝贝龙虾(总店),681,117,8.5,7.7,8.0
beijing,热辣生活(槐房万达店),107,59,8.8,8.9,8.7
beijing,怪客龙虾,307,171,8.4,9.1,9.0
beijing,龙虾城堡,540,146,8.9,8.8,8.8
beijing,麻辣范儿(良乡机场店),210,97,9.1,9.1,9.1
beijing,麻六甲下酒菜(东大桥旗舰店),76,94,7.7,8.5,8.0
beijing,十里烤场(十里河店),127,81,7.2,7.7,7.2
beijing,热辣生活(枫蓝国际店),124,58,8.3,8.4,8.2
beijing,相聚串吧,127,83,9.0,8.6,9.0
beijing,热辣生活(昌平永旺店),121,59,8.4,8.6,8.3
beijing,一品渝香干锅鸭头(望京店),175,64,8.8,8.9,9.0
beijing,热辣生活(昌平万科店),185,54,8.6,8.7,8.1
beijing,稻田捞渔生态鱼火锅(酒仙桥店),350,103,8.7,9.1,8.8
beijing,有锞-私房菜,270,69,8.3,9.0,8.4
beijing,耍牛忙串串香Vs辣家私厨小龙虾(北苑旗舰店),320,75,7.9,7.9,7.7
beijing,虾友虾道,146,98,8.6,8.3,8.7
