城市,人均
七台河,40.0
万州区,49.6
万载县,30.5
三亚,95.93333333333334
三台县,37.0
三明,58.3
三河市,75.75
三门县,25.0
三门峡,54.0
上栗县,30.0
上海,120.10975609756098
上街区,20.0
上饶,47.7
上高县,37.666666666666664
东丰县,30.0
东光县,50.0
东兴市,46.75
东台市,31.666666666666668
东海县,26.0
东港市,23.0
东莞,64.11538461538461
东营,55.57142857142857
东阳,51.6
中山,55.76190476190476
中江县,80.0
中牟县,34.0
丰城市,28.0
临安,46.5
临朐县,35.0
临江市,30.0
临汾,64.0
临沂,40.76190476190476
临泉县,34.0
临海市,49.8
临湘市,48.333333333333336
临潼区,91.0
临西县,87.0
临邑县,50.0
临颍县,27.0
丹东,37.0
丹阳市,56.0
丽水,54.57142857142857
丽江,47.4
义乌,45.76470588235294
乌兰浩特市,30.0
乌拉特前旗,23.0
乌海,32.0
乌镇,30.0
乐山,52.09090909090909
乐清,55.5
乐陵市,50.0
九江,45.22222222222222
乳山市,36.0
乾县,42.0
云梦县,42.0
云浮,35.0
五河县,35.0
亳州,30.0
什邡市,108.5
仁寿县,55.0
从化区,72.0
仙桃,81.66666666666667
仙游县,35.5
仪征市,39.0
伊川县,15.0
伊春,40.0
余姚,38.55555555555556
佛山,74.11475409836065
佳木斯,33.333333333333336
侯马市,95.0
保定,58.642857142857146
保山,36.0
保德县,40.0
信丰县,20.0
信阳,34.1875
克什克腾旗,81.0
兖州区,16.0
全椒县,26.666666666666668
公安县,50.0
六安,27.75
六盘水,27.666666666666668
兰州,60.81818181818182
兰溪市,35.0
兰考县,75.0
兴化市,34.666666666666664
兴国县,25.0
兴安盟,30.0
内江,75.5
冷水江市,38.0
凉山,50.666666666666664
凤城市,56.0
凤阳县,25.0
分宜县,27.0
利川市,30.0
前郭尔罗斯蒙古族自治县,90.0
加格达奇区,65.0
包头,65.0
北京,97.56190476190476
北流市,27.666666666666668
北海,51.57142857142857
北镇市,34.0
十堰,52.2
千岛湖,83.0
华容县,37.666666666666664
南京,102.71743929359823
南充,54.75
南县,40.0
南宁,55.568627450980394
南安市,27.0
南宫市,25.0
南平,17.0
南康区,30.0
南昌,78.17977528089888
南昌县,53.0
南沙区,33.25
南通,88.07407407407408
南阳,29.47826086956522
博爱县,20.0
博白县,48.0
博罗县,28.0
卫辉市,22.0
原平市,35.0
厦门,86.63934426229508
双流区,78.89285714285714
双阳区,90.0
双鸭山,30.0
句容市,41.333333333333336
台安县,22.0
台山市,25.0
台州,46.02777777777778
叶县,23.5
合川区,79.0
合浦县,26.0
合肥,78.45098039215686
合阳县,30.0
吉安,31.6
吉安县,47.0
吉林,38.083333333333336
吉首市,27.555555555555557
同里,45.0
吕梁,68.0
含山县,34.0
启东市,61.0
吴江,66.0
周口,26.0
周至县,20.0
呼和浩特,70.9
和县,55.0
咸丰县,50.0
咸宁,29.5
