digits,issue,luckyguy,region,sales,time
"14,15,17,22,24,29,13",2018079,2,"Õã,Ãö",327442428,2018-07-10
"03,10,14,17,18,30,12",2018078,6,"ÃÉ,¼ª,ËÕ,Õã",358569878,2018-07-08
"02,05,09,15,20,24,10",2018077,7,"¼½,ÁÉ,Õã,¹ð",327832004,2018-07-05
"03,07,08,15,29,30,13",2018076,22,"¼½,ÁÉ,¼ª,ºÚ",327873252,2018-07-03
"07,09,12,13,22,24,11",2018075,17,"»¦,ËÕ,Â³,ÔÁ",356378720,2018-07-01
"09,11,14,20,27,30,09",2018074,9,"ÁÉ,ºÚ,ËÕ,Õã",327800026,2018-06-28
"02,09,14,15,16,23,10",2018073,8,"¼½,ÃÉ,¸Ó,Â³",329645754,2018-06-26
"11,16,19,22,25,30,08",2018072,19,"¼½,ÃÉ,ºÚ,Õã",372281494,2018-06-24
"02,05,06,13,16,19,03",2018071,9,"ºÚ,ËÕ,Õã,Íî",348880396,2018-06-21
"04,09,15,16,19,27,10",2018070,13,"ÃÉ,»¦,Íî,¸Ó",339461364,2018-06-19
"06,13,17,19,23,31,12",2018069,5,"Õã,ÔÁ,¹ð,Óå",355213336,2018-06-17
"08,10,17,20,27,30,01",2018068,3,"¾©,Ïæ,ÔÁ",332649368,2018-06-14
"01,04,09,12,15,18,05",2018067,8,"¾©,Íî,Â³,Çí",324647042,2018-06-12
"09,16,17,19,22,26,10",2018066,10,"Õã,¸Ó,ÔÁ,´¨",357968382,2018-06-10
"01,04,06,14,28,33,01",2018065,6,"¾©,ÃÉ,Íî,ÔÁ",329937636,2018-06-07
"02,05,10,11,17,21,05",2018064,12,"¾©,¼½,ÁÉ,Õã",329557586,2018-06-05
"05,06,10,16,20,25,12",2018063,27,"¼½,ÁÉ,»¦,Õã",358387608,2018-06-03
"02,18,19,24,25,33,11",2018062,6,"Â³,¹ð,Óå,´¨",326938646,2018-05-31
"09,10,11,12,18,23,07",2018061,15,"¼½,½ú,»¦,ËÕ",332550974,2018-05-29
"04,08,13,25,30,31,10",2018060,5,"ÁÉ,ËÕ,Ãö,¶õ",364451892,2018-05-27
"04,06,08,13,22,32,11",2018059,5,"½ú,ËÕ,¹ó,µá",335528070,2018-05-24
"07,12,13,16,26,31,07",2018058,11,"ÁÉ,ÉîÛÚ,ÉÂ",328678478,2018-05-22
"05,15,17,19,20,30,13",2018057,9,"¼½,¼ª,Ãö,Â³",360079018,2018-05-20
"01,03,06,20,21,26,01",2018056,7,"»¦,Â³,ÔÁ,´¨",332042280,2018-05-17
"07,09,10,12,22,26,07",2018055,39,"¼½,ËÕ,Õã,Â³",328077816,2018-05-15
"04,06,18,22,25,33,16",2018054,4,"¼½,ËÕ,¶õ,ÐÂ",364343470,2018-05-13
"01,04,10,11,14,27,06",2018053,8,"ÁÉ,ºÚ,Õã,Ô¥",336743448,2018-05-10
"03,05,06,09,15,32,14",2018052,4,"¼½,½ú,ÁÉ,Â³",335132016,2018-05-08
"05,07,20,23,27,31,04",2018051,5,"ËÕ,Â³,ÔÁ,¸Ê",362286900,2018-05-06
"01,02,04,10,18,19,07",2018050,7,"¼ª,ºÚ,Õã,Óå",332612986,2018-05-03
"01,03,04,11,19,23,02",2018049,7,"Õã,Â³",308606382,2018-05-01
"01,12,20,25,30,31,02",2018048,4,"½ò,Õã,¹ð,´¨",347082070,2018-04-29
"06,07,12,16,22,25,07",2018047,9,"»¦,Õã,Ãö,¸Ó",340211348,2018-04-26
"10,13,14,18,20,31,03",2018046,2,"ÁÉ,Íî",341414200,2018-04-24
"03,04,06,25,26,30,01",2018045,3,"Â³,¹ð,¸Ê",381384846,2018-04-22
"05,09,12,17,27,30,06",2018044,22,"¾©,½ò,ÃÉ,ºÚ",351490126,2018-04-19
"01,04,06,08,21,24,07",2018043,6,"¼½,ÃÉ,Õã,¶õ",350595736,2018-04-17
"06,10,21,28,29,31,12",2018042,14,"ºÚ,Â³,Ô¥,¶õ",373384922,2018-04-15
"07,08,20,23,24,32,13",2018041,4,"¼½,ËÕ,Õã,´¨",342614774,2018-04-12
"01,03,08,13,18,23,16",2018040,11,"¼½,½ú,ÁÉ,»¦",341719534,2018-04-10
"08,12,18,19,23,32,03",2018039,6,"¸Ó,Â³,Ô¥,Ïæ",368394896,2018-04-08
"15,23,24,25,28,29,09",2018038,5,"ËÕ,Õã,ÉîÛÚ,¹ð",303245456,2018-04-05
"01,06,07,08,27,30,10",2018037,12,"¼½,ÁÉ,¼ª,Â³",336334062,2018-04-03
"08,17,24,26,28,33,04",2018036,4,"ËÕ,ÉîÛÚ,ÉÂ",375931002,2018-04-01
"07,10,11,17,23,28,15",2018035,6,"Õã,Ïæ,ÔÁ,ÉîÛÚ",350309396,2018-03-29
"01,05,11,22,23,26,15",2018034,8,"ÁÉ,¼ª,Íî,Â³",348544506,2018-03-27
"04,19,20,22,28,33,06",2018033,3,"»¦,Íî,¸Ó",376360408,2018-03-25
"21,22,23,24,25,32,06",2018032,3,"½ò,Ãö,¹ð",351194914,2018-03-22
"02,16,18,19,27,30,14",2018031,3,"ÃÉ,ËÕ,Ãö",345048756,2018-03-20
"13,14,20,21,25,33,07",2018030,1,ËÕ,388492136,2018-03-18
"01,02,09,14,22,25,05",2018029,5,"½ú,ÁÉ,Õã,Ô¥",349939456,2018-03-15
"03,08,11,14,18,23,16",2018028,7,"½ò,ÃÉ,»¦,Õã",352015830,2018-03-13
"02,07,09,14,18,28,05",2018027,6,"ËÕ,Ãö,Â³,¶õ",386579026,2018-03-11
"04,07,12,14,26,32,04",2018026,6,"ËÕ,¸Ó,Â³,Ïæ",341958742,2018-03-08
"04,13,16,19,21,25,14",2018025,1,¹ð,341614936,2018-03-06
"11,19,22,26,31,32,02",2018024,9,"ºÚ,¸Ó,Ô¥,Ïæ",373443496,2018-03-04
"12,15,16,21,26,29,16",2018023,3,"¾©,½ò,ËÕ",339395846,2018-03-01
"07,14,19,21,22,23,03",2018022,6,"ÁÉ,ºÚ,Â³,Ïæ",333617132,2018-02-27
"03,04,06,11,23,28,14",2018021,3,"ÁÉ,ËÕ,ÉÂ",364661036,2018-02-25
"06,09,10,14,28,30,05",2018020,33,"¾©,¼½,½ú,Ãö",322991340,2018-02-22
"03,11,12,16,21,23,09",2018019,8,"¾©,¼½,ºÚ,ËÕ",353382992,2018-02-13
"02,12,13,18,25,27,07",2018018,12,"ÁÉ,ºÚ,ËÕ,Õã",364855490,2018-02-11
"03,06,11,26,30,32,12",2018017,5,"ÃÉ,Õã,Ãö,ÔÁ",341808336,2018-02-08
"01,11,12,18,25,27,16",2018016,4,"¾©,Â³",338462386,2018-02-06
"11,15,20,21,26,33,15",2018015,6,"ÃÉ,Õã,Íî,¹ð",372995620,2018-02-04
"09,12,20,24,28,31,07",2018014,17,"ËÕ,Â³,¶õ,ÔÁ",341965074,2018-02-01
"06,08,13,15,22,33,06",2018013,9,"ËÕ,¸Ó,Ô¥,ÔÁ",338322260,2018-01-30
"11,12,13,19,26,28,12",2018012,8,"½ú,»¦,ËÕ,¶õ",367108128,2018-01-28
"03,10,21,23,27,33,11",2018011,8,"½ú,»¦,Íî,Ô¥",336871794,2018-01-25
"01,08,17,20,21,22,03",2018010,6,"¾©,ÁÉ,ÔÁ,Óå",351327690,2018-01-23
"05,10,17,23,26,32,07",2018009,17,"¾©,½ú,ËÕ,Ô¥",384256808,2018-01-21
"05,09,10,12,17,19,13",2018008,11,"¾©,ÁÉ,¼ª,¶õ",359785672,2018-01-18
"13,14,20,25,27,31,12",2018007,8,"¼½,Õã,Â³,¶õ",354279554,2018-01-16
"02,07,08,09,17,29,11",2018006,11,"¾©,ÁÉ,¼ª,»¦",387617618,2018-01-14
"02,20,21,28,31,33,06",2018005,1,¾©,354961030,2018-01-11
"14,18,19,26,30,31,11",2018004,13,"¼ª,Õã,¶õ,ÔÁ",349304820,2018-01-09
"01,14,16,17,20,31,04",2018003,5,"¼½,½ú,Íî,Â³",388121442,2018-01-07
"07,18,24,29,31,33,16",2018002,3,"¼½,ºÚ,´¨",351610618,2018-01-04
"01,08,11,26,28,31,04",2018001,22,"ºÚ,ËÕ,Õã,Ãö",367348082,2018-01-02
"05,09,13,15,18,26,05",2017154,11,"¼½,Õã,Íî,¸Ó",414241024,2017-12-31
"07,11,12,13,18,19,16",2017153,4,"¾©,½ú,Õã,¶õ",372349292,2017-12-28
"06,10,23,25,26,29,05",2017152,8,"¼ª,Õã,Ãö,Â³",367326916,2017-12-26
"02,05,07,09,11,27,16",2017151,6,"ÁÉ,ËÕ,Íî,Ãö",410102286,2017-12-24
"06,14,19,20,21,23,08",2017150,9,"Íî,¶õ,ÔÁ,ÉîÛÚ",382821120,2017-12-21
"05,08,15,20,27,30,13",2017149,67,"¼½,ÃÉ,ÁÉ,¼ª",389703152,2017-12-19
"04,07,11,14,29,32,12",2017148,18,"¾©,¼½,ÃÉ,ÁÉ",419003890,2017-12-17
"03,07,20,21,25,31,14",2017147,3,"½ú,»¦,Íî",397012632,2017-12-14
"01,19,25,26,27,33,10",2017146,21,"¾©,¼½,¼ª,ËÕ",409358700,2017-12-12
"02,06,12,17,25,28,12",2017145,31,"¼½,½ú,ÃÉ,ÁÉ",434698744,2017-12-10
"03,14,16,20,31,32,09",2017144,8,"¾©,½ò,Õã,¸Ó",394649686,2017-12-07
"04,06,09,14,20,29,14",2017143,13,"¼½,ÁÉ,»¦,Â³",383967718,2017-12-05
"08,13,14,18,23,33,06",2017142,6,"½ú,Ãö,¸Ó,Ô¥",417715258,2017-12-03
"01,06,07,11,13,15,05",2017141,4,"ËÕ,Â³,ÔÁ,ÉÂ",374075240,2017-11-30
"21,22,25,28,29,30,08",2017140,16,"¾©,ÃÉ,ËÕ,Õã",376479116,2017-11-28
"02,14,20,24,28,32,16",2017139,6,"½ú,Ô¥,ÔÁ,´¨",409744564,2017-11-26
"01,17,24,28,32,33,02",2017138,6,"ËÕ,Õã,ÔÁ,Óå",377937674,2017-11-23
"05,10,20,23,26,31,03",2017137,7,"½ò,ÃÉ,Íî,¹ð",376184186,2017-11-21
"03,07,10,18,21,24,12",2017136,19,"¼½,ËÕ,Õã,Íî",401556928,2017-11-19
"01,06,07,14,18,26,16",2017135,8,"½ú,Â³,ÔÁ,¹ð",378825098,2017-11-16
"04,05,11,14,28,32,04",2017134,13,"¾©,½ú,ÃÉ,¼ª",365781644,2017-11-14
"06,15,17,18,23,30,11",2017133,7,"¼½,ÁÉ,»¦,¶õ",400247724,2017-11-12
"02,03,05,09,13,28,11",2017132,6,"¾©,Õã,ÔÁ,¹ð",377852842,2017-11-09
"01,07,10,11,26,27,11",2017131,25,"¼½,ÁÉ,¼ª,»¦",367788616,2017-11-07
"05,13,14,23,25,31,02",2017130,5,"Õã,Íî,´¨",401382016,2017-11-05
"05,06,09,14,21,33,02",2017129,3,"½ú,ÁÉ,¹ð",334351058,2017-11-02
"02,06,13,22,29,31,08",2017128,13,"½ò,ÁÉ,Â³,¶õ",323872230,2017-10-31
