公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月薪
深圳市紫川软件有限公司,紫川软件,500-2000人,不需要融资,南山区,PHP工程师,3-5年,大专,9k-12k,周末双休 五险一金 员工旅游,"['3', '5']",4.0,"['9', '12']",9.75
深圳市哎吖科技有限公司,哎吖科技,15-50人,天使轮,南山区,PHP工程师,1-3年,大专,8k-15k,"氛围轻松,环境好,下午茶,福利多多","['1', '3']",2.0,"['8', '15']",9.75
深圳市千米生活科技有限公司,深圳市千米生活科技有限公司,15-50人,未融资,南山区,PHP开发工程师,3-5年,不限,15k-18k,"福利待遇好,前景好","['3', '5']",4.0,"['15', '18']",15.75
深圳市亿乐谷科技有限公司,亿乐谷,150-500人,D轮及以上,宝安区,PHP开发工程师,3-5年,大专,10k-18k,"五险一金,员工旅游,带薪年假,电商行业","['3', '5']",4.0,"['10', '18']",12.0
深圳市国人在线信息技术有限公司,国人在线,150-500人,不需要融资,龙华新区,PHP开发工程师,3-5年,大专,8k-15k,"扁平管理,带薪年假,员工旅游,商业保险","['3', '5']",4.0,"['8', '15']",9.75
深圳市华阅文化传媒有限公司,华阅文化,150-500人,A轮,南山区,PHP开发工程师,1-3年,本科,12k-18k,"五险一金,奇虎360,大咖多,旅游","['1', '3']",2.0,"['12', '18']",13.5
广州市宝奕瀛新汽车有限责任公司,响响租车,50-150人,天使轮,南山区,PHP开发工程师,1-3年,大专,10k-20k,"福利多,团队好,有大牛","['1', '3']",2.0,"['10', '20']",12.5
深圳易可达科技有限公司,纵腾网络,500-2000人,上市公司,龙华新区,php,1-3年,大专,8k-15k,"发展前景好,薪酬福利好,工作环境好,领导好","['1', '3']",2.0,"['8', '15']",9.75
深圳市递四方信息科技有限公司,4PX,500-2000人,D轮及以上,宝安区,PHP开发工程师,3-5年,大专,10k-20k,阿里系 自主研发 团队氛围好 技术大咖多,"['3', '5']",4.0,"['10', '20']",12.5
深圳市农博创新科技有限公司,农博创新NBI,15-50人,A轮,南山区,PHP开发工程师,1-3年,本科,6k-12k,"发展空间大,绩效,年终奖","['1', '3']",2.0,"['6', '12']",7.5
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,PHP开发工程师,3-5年,本科,10k-20k,"环境好,旅游,福利丰厚","['3', '5']",4.0,"['10', '20']",12.5
深圳天天看看信息技术有限公司,天天看看,150-500人,不需要融资,南山区,PHP工程师,3-5年,本科,12k-22k,"老大请吃饭,学习空间大,福利好","['3', '5']",4.0,"['12', '22']",14.5
深圳市华宇讯科技有限公司,卖座网,500-2000人,B轮,南山区,PHP工程师,3-5年,本科,15K-25K,福利待遇、发展前景,"['3', '5']",4.0,"['15', '25']",17.5
深圳优创信息科技有限公司,优创,15-50人,不需要融资,福田区,中级PHP工程师,3-5年,不限,10k-15k,"五险一金,绩效奖金,全勤奖,年终分红","['3', '5']",4.0,"['10', '15']",11.25
深圳市萌蛋互动网络有限公司,萌蛋互动,150-500人,不需要融资,南山区,PHP开发,1-3年,本科,13k-25k,高速发展期、大流量、高并发,"['1', '3']",2.0,"['13', '25']",16.0
深圳市英思奇信息咨询有限公司,英思奇,50-150人,未融资,宝安区,PHP开发工程师,3-5年,大专,15k-25k,"薪资待遇好,环境高大上","['3', '5']",4.0,"['15', '25']",17.5
深圳小鹅网络技术有限公司,小鹅（小鹅通）,50-150人,A轮,南山区,PHP,不限,本科,10k-20k,高薪，创业核心来自腾讯，获线下投资,[],0.0,"['10', '20']",12.5
深圳回收宝科技有限公司,回收宝,150-500人,B轮,南山区,PHP研发工程师,3-5年,本科,15k-25k,"腾讯系团队,大牛导师多,发展前景好,薪资待遇好","['3', '5']",4.0,"['15', '25']",17.5
