area,title,room_type,square,position,detail_place,floor,total_floor,house_year,price
丰台,嘉特美公馆  ,2房间1卫  ,80平米  ,东,北京南站租房,中楼层(共15层),中楼层(共15层),2011年建塔楼,8800
丰台,优筑  ,3室2厅  ,157.09平米  ,南 北,玉泉营租房,低楼层(共17层),低楼层(共17层),2007年建板楼,9700
丰台,菊源里  ,2室1厅  ,91.51平米  ,南 北,旧宫租房,高楼层(共6层),高楼层(共6层),2001年建板楼,4000
丰台,鹏润家园  ,5室2厅  ,347.05平米  ,东 南 北,菜户营租房,高楼层(共30层),高楼层(共30层),2001年建塔楼,50000
丰台,百合园  ,2室1厅  ,79.25平米  ,西北,右安门外租房,低楼层(共18层),低楼层(共18层),1999年建塔楼,6500
丰台,怡海花园恒泰园  ,3室1厅  ,94.65平米  ,南 北,科技园区租房,低楼层(共6层),低楼层(共6层),1997年建板楼,10000
丰台,丽水园  ,3室2厅  ,76.3平米  ,南,马家堡租房,低楼层(共11层),低楼层(共11层),2006年建板楼,9000
丰台,万年花城五期  ,2室1厅  ,90.49平米  ,南,玉泉营租房,中楼层(共21层),中楼层(共21层),2011年建板楼,7200
丰台,鹏润家园  ,3室1厅  ,184.66平米  ,西北,菜户营租房,低楼层(共30层),低楼层(共30层),2000年建塔楼,15000
丰台,鹏润家园  ,2室1厅  ,148.17平米  ,西南,菜户营租房,低楼层(共30层),低楼层(共30层),2000年建塔楼,12000
丰台,万柳西园  ,2室2厅  ,91.26平米  ,南 北,玉泉营租房,高楼层(共6层),高楼层(共6层),2002年建板楼,6500
丰台,中海九号公馆  ,5室2厅  ,409.85平米  ,南 北,科技园区租房,地下室(共3层),地下室(共3层),2012年建暂无数据,90000
丰台,鑫源国际  ,3房间1卫  ,53.07平米  ,北,成寿寺租房,低楼层(共18层),低楼层(共18层),2010年建板塔结合,7000
丰台,玉林东里一区  ,2室1厅  ,59.2平米  ,南 北,右安门外租房,高楼层(共6层),高楼层(共6层),1992年建板楼,5500
丰台,领秀翡翠墅  ,3室1厅  ,140.46平米  ,南 北,丰台其它租房,低楼层(共6层),低楼层(共6层),2015年建板楼,7500
丰台,中海苏黎世家  ,3室1厅  ,134.17平米  ,南 北,科技园区租房,高楼层(共11层),高楼层(共11层),2012年建板楼,16500
丰台,家和园  ,2室1厅  ,99.84平米  ,南,北京南站租房,中楼层(共16层),中楼层(共16层),2007年建板塔结合,8300
丰台,祖家庄小区  ,2室1厅  ,54.71平米  ,南 北,右安门外租房,中楼层(共6层),中楼层(共6层),1989年建板楼,6000
丰台,玺萌公馆  ,4室1厅  ,196.18平米  ,南 北,草桥租房,中楼层(共6层),中楼层(共6层),2008年建板楼,20000
丰台,紫芳园二区香园  ,5室2厅  ,195.8平米  ,东南 北,方庄租房,低楼层(共11层),低楼层(共11层),2005年建板楼,28000
丰台,中海九号公馆  ,4室2厅  ,179.71平米  ,南 北,科技园区租房,高楼层(共16层),高楼层(共16层),2012年建板塔结合,23000
丰台,嘉业大厦  ,3室1厅  ,140.43平米  ,南 北,刘家窑租房,高楼层(共12层),高楼层(共12层),2006年建板塔结合,11000
丰台,西局欣园北区  ,3室1厅  ,136.81平米  ,南 北,七里庄租房,低楼层(共19层),低楼层(共19层),2007年建板塔结合,12000
丰台,万科紫台  ,3室1厅  ,169.9平米  ,南 北,岳各庄租房,低楼层(共18层),低楼层(共18层),2006年建板楼,16000
丰台,东山坡三里  ,3室1厅  ,111.62平米  ,南 北,丰台其它租房,中楼层(共6层),中楼层(共6层),2000年建板楼,4300
丰台,鼎恒中心  ,2室1厅  ,99.85平米  ,南 北,七里庄租房,中楼层(共24层),中楼层(共24层),2000年建塔楼,7800
丰台,嘉业大厦  ,1室1厅  ,112.52平米  ,南,刘家窑租房,低楼层(共19层),低楼层(共19层),2006年建塔楼,12500
丰台,玉皇庄小区  ,2室1厅  ,52.05平米  ,南,丰台其它租房,高楼层(共6层),高楼层(共6层),1990年建板楼,2700
丰台,中海九号公馆  ,3室2厅  ,186.51平米  ,南 北,科技园区租房,低楼层(共18层),低楼层(共18层),2011年建暂无数据,23000
丰台,方庄公馆  ,3室2厅  ,126.98平米  ,南 北,成寿寺租房,低楼层(共12层),低楼层(共12层),2014年建板楼,14000
朝阳,石佛营东里105号院  ,1室1厅  ,58.13平米  ,南 北,石佛营租房,高楼层(共6层),高楼层(共6层),1992年建板楼,5000
