area,title,room_type,square,position,detail_place,floor,total_floor,house_year,price
朝阳,石佛营东里105号院  ,1室1厅  ,58.13,南 北,石佛营,高楼层,6,1992年建板楼,5000
朝阳,慧谷根园  ,4室2厅  ,261.3,南 北,望京,低楼层,1,2003年建暂无数据,38000
朝阳,泰禾北京院子  ,3室2厅  ,166.79,南 北,中央别墅区,中楼层,7,2014年建板楼,30000
朝阳,富丽华园  ,3室2厅  ,176.09,东南,农展馆,高楼层,22,2001年建塔楼,25000
朝阳,朝阳公园西里北区  ,2室1厅  ,46.73,南 北,农展馆,高楼层,6,1996年建板楼,8000
朝阳,金地国际花园  ,3室1厅  ,197.83,南,CBD,高楼层,33,2004年建板塔结合,26000
朝阳,锦湖园公寓  ,3室2厅  ,170.36,西南,团结湖,中楼层,26,2000年建塔楼,23000
朝阳,三里屯SOHO  ,3室2厅  ,182.02,东,三里屯,中楼层,28,2010年建塔楼,30000
朝阳,富力爱丁堡公馆  ,2室2厅  ,114.16,东南,三里屯,中楼层,14,2006年建板塔结合,23500
朝阳,阳光上东滨河花园  ,3室2厅  ,226.47,南 北,酒仙桥,低楼层,5,2005年建板楼,48000
朝阳,朗廷  ,3房间2卫  ,65.62,东,管庄,高楼层,12,2010年建板楼,6500
朝阳,兴隆家园  ,2室1厅  ,95.14,东南,高碑店,低楼层,24,2005年建塔楼,8000
朝阳,蓝筹名座  ,2室1厅  ,115.42,南,朝阳门外,中楼层,17,2003年建板塔结合,16000
朝阳,胜古家园  ,2室1厅  ,81.8,南 西,惠新西街,中楼层,22,1999年建塔楼,9800
朝阳,阳光100  ,1室0厅  ,53.03,北,CBD,低楼层,30,2002年建塔楼,10500
朝阳,豪成大厦  ,1室0厅  ,118.72,西,国展,低楼层,25,2008年建塔楼,13000
朝阳,中国第一商城  ,2室1厅  ,145.59,西北,红庙,中楼层,29,2004年建塔楼,15000
朝阳,亚运新新家园朗月园一期  ,5室3厅  ,421.29,南 北,亚运村小营,低楼层,1,2001年建暂无数据,55000
朝阳,天鹅湾南区  ,3室2厅  ,247.95,东 南 北,朝青,高楼层,10,2010年建板楼,40000
朝阳,苹果社区北区  ,2室2厅  ,65.54,南,双井,高楼层,12,2006年建板塔结合,16000
朝阳,观筑庭园  ,4室2厅  ,182.6,南 北,十里河,中楼层,4,2004年建暂无数据,13000
朝阳,天鹅湾南区  ,4室3厅  ,201.92,南 北,朝青,低楼层,14,2008年建板楼,35000
朝阳,易构空间  ,2室1厅  ,93.7,西北,大望路,中楼层,28,2004年建塔楼,9000
朝阳,龙湖双珑原著  ,3室2厅  ,195.54,东 南 北,中央别墅区,高楼层,6,2014年建板楼,30000
朝阳,格林莱雅  ,2室1厅  ,107.16,南 北,垡头,高楼层,17,2009年建板楼,10000
朝阳,嘉华世纪公寓  ,3室1厅  ,214.28,东 南 西 北,建国门外,高楼层,13,2003年建板塔结合,85000
朝阳,半岛国际公寓  ,1室0厅  ,32.08,西南,太阳宫,中楼层,18,2005年建板塔结合,6500
朝阳,建外SOHO  ,3室1厅  ,290.37,东南,CBD,高楼层,28,2003年建塔楼,48000
朝阳,远洋新干线  ,1室1厅  ,155.55,西北,燕莎,低楼层,26,2005年建塔楼,30000
朝阳,江南山水  ,3室2厅  ,155,南 北,十八里店,高楼层,12,2011年建板楼,10500
海淀,上地东里  ,2室1厅  ,69.19,东 北,上地,低楼层,6,1996年建塔楼,11000
海淀,新华联国际  ,5房间3卫  ,171.26,南 北,公主坟,高楼层,23,2007年建板塔结合,30000
海淀,青云北区  ,2室1厅  ,63,南 北,双榆树,低楼层,6,1984年建板楼,8800
海淀,绿谷雅园  ,4室2厅  ,179.97,南,田村,高楼层,5,2004年建板楼,15000
海淀,华尔街观典  ,4室2厅  ,242.95,东 南 西 北,六里桥,高楼层,26,2007年建板楼,30000
海淀,魏公村8号院  ,3室1厅  ,127.31,南 北,魏公村,高楼层,16,1998年建塔楼,13500
海淀,双榆树西里  ,2室1厅  ,55.3,东北,双榆树,中楼层,16,1988年建塔楼,8500
海淀,逸升轩  ,4室1厅  ,198.71,南 北,甘家口,低楼层,14,2002年建板楼,20000
海淀,八里庄北里  ,2室1厅  ,53.8,南 北,定慧寺,高楼层,6,1997年建板楼,6300
海淀,万寿路1号院  ,1室1厅  ,37.41,南,万寿路,高楼层,5,1978年建板楼,5000
海淀,时代之光名苑  ,5房间1卫  ,212.77,西,西直门,低楼层,16,2002年建塔楼,47800
海淀,保利西山林语  ,2室2厅  ,148.88,南 北,海淀北部新区,低楼层,8,2008年建板楼,10000
海淀,增光佳苑  ,2室2厅  ,148.25,南,甘家口,高楼层,20,2005年建板塔结合,18000
海淀,中雅大厦  ,2室1厅  ,178.43,南,军博,低楼层,16,2004年建板塔结合,17000
海淀,光耀东方峰会  ,2房间1卫  ,79.05,西,甘家口,中楼层,12,2010年建塔楼,16350
海淀,都市网景  ,3室1厅  ,141.74,西北,双榆树,高楼层,24,1999年建塔楼,14000
海淀,清林苑  ,2室2厅  ,137.23,南 北,学院路,高楼层,7,2002年建板楼,10000
海淀,燕西台  ,4室3厅  ,325.88,南 北,西山,低楼层,1,2009年建暂无数据,58000
海淀,香山清琴  ,4室3厅  ,692.31,南 北,西山,低楼层,1,2010年建暂无数据,130000
海淀,西山华府  ,3室2厅  ,143.28,南 北,马连洼,低楼层,8,2008年建板楼,25000
海淀,纽约客  ,1室1厅  ,59.27,西,苏州桥,高楼层,15,2006年建塔楼,13000
海淀,永定路1号院  ,2室1厅  ,62.1,南 北,田村,低楼层,6,1991年建板楼,5500
海淀,春荫园  ,3室2厅  ,161.67,南 北,世纪城,高楼层,13,2004年建板楼,16000
海淀,中海馥园  ,2室1厅  ,121.17,南,甘家口,低楼层,22,2003年建板塔结合,16000
海淀,逸升轩  ,3室1厅  ,202.99,南 北,甘家口,中楼层,14,2002年建板楼,24000
海淀,观澳园  ,2室1厅  ,91.39,东 西,清河,低楼层,5,2006年建板楼,13000
海淀,领秀新硅谷2号院  ,9室5厅  ,283.76,南 北,西二旗,低楼层,3,2008年建暂无数据,60000
海淀,怡清园  ,3室2厅  ,142.23,东 南,清河,中楼层,15,2003年建板塔结合,9500
海淀,人济山庄  ,5室3厅  ,345.82,东南,紫竹桥,高楼层,26,2002年建塔楼,58000
海淀,满庭芳园  ,5室2厅  ,321,东南,双榆树,高楼层,24,1999年建塔楼,26000
通州,融创千章墅  ,5室3厅  ,391.91,南 北,通州其它,低楼层,6,2014年建塔楼,39000
通州,V7九间堂  ,4室2厅  ,218.85,南 北,潞苑,中楼层,5,暂无数据,20000
通州,盛通绿色家园  ,5室2厅  ,192.28,南 北,通州其它,低楼层,2,2005年建板楼,15000
通州,东亚印象台湖  ,2室1厅  ,64.07,南,通州其它,高楼层,12,2015年建暂无数据,3500
通州,盛通绿色家园  ,5室2厅  ,192.28,南 北,通州其它,低楼层,2,2002年建板楼,13000
通州,枫露皇苑  ,8室3厅  ,252.4,东 南 西 北,潞苑,低楼层,2,1996年建暂无数据,15000
通州,78墅  ,5室2厅  ,286.6,南 北,临河里,高楼层,6,2016年建暂无数据,15000
通州,金隅自由筑  ,1房间1卫  ,68.22,南,临河里,中楼层,7,2013年建板楼,3200
通州,中建红杉溪谷  ,5室2厅  ,274.26,南 北,潞苑,中楼层,4,2013年建暂无数据,20000
通州,V7九间堂  ,4室5厅  ,421,南 北,潞苑,低楼层,3,暂无数据,30000
通州,金隅七零九零  ,3室2厅  ,141.42,东南 西南 西北,临河里,低楼层,15,2008年建板楼,6000
通州,五所家属院  ,3室1厅  ,78.87,南 北,梨园,中楼层,6,1992年建板楼,3500
通州,华远铭悦  ,4室2厅  ,171.11,南 北,临河里,低楼层,18,2012年建板楼,10000
通州,世爵源墅  ,4室1厅  ,191.7,南 北,九棵树(家乐福),低楼层,4,2006年建暂无数据,12000
通州,华龙小区  ,1室1厅  ,57.66,南 北,潞苑,高楼层,5,2001年建板楼,2800
通州,香林郡  ,5室2厅  ,222.49,南 北,武夷花园,高楼层,7,2004年建板楼,12000
通州,京贸国际公寓  ,3室1厅  ,139.9,东北,通州北苑,高楼层,28,2004年建塔楼,8700
通州,海棠湾二期  ,2室1厅  ,83.04,南 北,临河里,高楼层,21,2011年建板塔结合,6000
通州,复兴里小区  ,1室1厅  ,35.37,南,新华大街,中楼层,6,1995年建板楼,3000
通州,景欣园  ,2室2厅  ,107.09,南 北,果园,中楼层,6,2000年建板楼,5300
通州,瑞都公园世家南区  ,1室1厅  ,65.12,南,临河里,高楼层,15,2007年建板楼,3800
通州,大方居  ,2室1厅  ,86.58,南 北,九棵树(家乐福),低楼层,15,2008年建板塔结合,4200
通州,泰禾拾景园  ,4室3厅  ,126,南 北,通州其它,高楼层,6,2016年建板楼,18000
通州,金隅花石匠  ,3室2厅  ,116.76,南 北,临河里,中楼层,10,2012年建板楼,6300
通州,金隅自由筑  ,3房间2卫  ,78.13,南,临河里,高楼层,7,2013年建板楼,4300
通州,北苑67号院  ,1室1厅  ,43.43,南,通州北苑,低楼层,6,1985年建板楼,3300
通州,京贸国际城西区  ,2室1厅  ,83.31,南,武夷花园,低楼层,40,2011年建塔楼,5200
通州,东亚瑞晶苑  ,1室1厅  ,62.9,南,马驹桥,高楼层,21,2009年建板楼,3500
通州,K2玉蘭湾  ,4室2厅  ,162.38,南 北,九棵树(家乐福),中楼层,27,2015年建板楼,12000
通州,瑞都国际南区  ,3室2厅  ,143.37,南 北,九棵树(家乐福),中楼层,11,2005年建板塔结合,8300
房山,徜徉嘉园8号院  ,3室2厅  ,129.64,南 北,长阳,中楼层,8,2014年建板楼,5800
房山,房山超级蜂巢  ,2房间1卫  ,41,南,良乡,高楼层,10,暂无数据,2800
房山,房山超级蜂巢  ,3房间2卫  ,59.86,东 南,良乡,高楼层,10,塔楼,3200
房山,半岛金街  ,2房间1卫  ,52.67,西,长阳,中楼层,11,2016年建塔楼,4000
房山,半岛金街  ,3房间1卫  ,62.82,西,长阳,中楼层,11,2016年建暂无数据,5000
房山,苏宁尊悦大厦  ,3室2厅  ,181.18,南 西 北,良乡,中楼层,13,2014年建塔楼,8000
房山,天资华府  ,3室2厅  ,117,东 南 北,长阳,低楼层,16,2015年建板楼,5300
房山,智汇雅苑  ,2室1厅  ,89.18,南,良乡,低楼层,18,板塔结合,3500
房山,绿地启航社  ,2房间1卫  ,55.54,东南,长阳,高楼层,16,2014年建塔楼,2800
房山,太平庄东里2号院  ,3室1厅  ,149.36,南 北,良乡,高楼层,6,2003年建板楼,3500
房山,碧桂园小区A区  ,2室1厅  ,88.08,南 北,长阳,中楼层,6,2002年建板楼,3300
房山,碧桂园小区A区  ,2室1厅  ,90.56,南 北,长阳,中楼层,6,2001年建板楼,3300
房山,文化路社区  ,3室1厅  ,66.53,南 北,良乡,低楼层,5,1979年建板楼,4500
房山,建邦华庭东区  ,2室2厅  ,110.88,南 北,长阳,低楼层,9,2013年建板楼,5800
房山,房山超级蜂巢  ,1室1厅  ,45,东,良乡,高楼层,10,塔楼,2300
房山,九洲溪雅苑二区  ,3室1厅  ,151.28,南 北,长阳,高楼层,14,2009年建板塔结合,5600
房山,长阳国际城二区  ,3室1厅  ,88.8,南 北,长阳,高楼层,20,2012年建板塔结合,4300
房山,长阳半岛2号院  ,2室1厅  ,87,南 北,长阳,中楼层,28,2012年建板塔结合,4200
房山,旭辉E天地  ,2房间2卫  ,37.69,南,良乡,高楼层,14,2015年建板楼,2800
房山,旭辉E天地  ,4房间1卫  ,54.99,东北,良乡,高楼层,14,2015年建塔楼,3400
房山,金地朗悦YOYO派  ,2房间1卫  ,40.24,北,良乡,中楼层,6,2015年建板楼,2500
房山,苏园小区  ,2室2厅  ,90.1,南 北,良乡,中楼层,6,2001年建暂无数据,3000
房山,加州水郡金桥国际酒店  ,1室0厅  ,59.65,东南,长阳,中楼层,16,2007年建塔楼,3900
房山,半岛金街  ,3房间1卫  ,78,东南,长阳,中楼层,11,2016年建暂无数据,6000
房山,首创新悦都  ,2室1厅  ,70.23,东南 北,长阳,高楼层,8,2014年建板楼,4000
房山,绿地启航社  ,3房间2卫  ,110.21,东南,长阳,高楼层,19,2013年建塔楼,5600
房山,五和万科长阳天地  ,2房间2卫  ,47.69,西,长阳,中楼层,5,2016年建塔楼,4000
房山,天泰新景  ,2室1厅  ,93.23,南 北,长阳,中楼层,6,2005年建板楼,3500
房山,蚕种场小区  ,1室1厅  ,67.26,南,良乡,中楼层,6,2002年建板楼,2300
房山,燕化星城建德一里  ,2室1厅  ,67.87,南 北,阎村,高楼层,6,暂无数据,2100
西城,信和嘉园  ,1室0厅  ,46.79,北,马连道,高楼层,18,2006年建板塔结合,5500
西城,凯迪尚府  ,1室1厅  ,49.3,北,牛街,中楼层,14,2010年建板塔结合,7000
西城,中华家园  ,5室2厅  ,278.81,南 北,白纸坊,低楼层,12,2002年建板塔结合,35000
西城,华荣公寓  ,3室2厅  ,254.31,南 北,金融街,中楼层,10,2005年建板塔结合,75000
