data-id,城市,景点,点评
28261,恰西,没有,0
24660,栾川,栾川重渡沟风景区,291
24660,栾川,栾川老君山,173
24660,栾川,洛阳鸡冠洞风景名胜区,128
24660,栾川,老君山景区,33
24660,栾川,栾川龙峪湾国家森林公园,35
10446,宜兴,宜兴竹海风景区,425
10446,宜兴,善卷洞,288
10446,宜兴,大觉寺,108
10446,宜兴,龙背山森林公园,80
10446,宜兴,龙池山自行车公园,81
10186,丽江,泸沽湖,5770
10186,丽江,丽江古城,10469
10186,丽江,丽江千古情景区,701
10186,丽江,玉龙雪山,5435
10186,丽江,束河古镇,6622
10487,大理,洱海,6720
10487,大理,双廊,4215
10487,大理,崇圣寺三塔,2626
10487,大理,海舌生态公园,1302
10487,大理,沙溪古镇,613
15992,塔尔寺,塔尔寺,4526
11304,马牙雪山,没有,0
13326,许昌,许昌春秋楼,57
13326,许昌,曹丞相府,62
13326,许昌,灞陵桥景区,37
13326,许昌,神垕古镇,15
13326,许昌,许昌博物馆,17
11558,南通,南通狼山风景名胜区,227
11558,南通,黄金海滩,66
11558,南通,濠河,243
11558,南通,水绘园,79
11558,南通,南通博物苑,92
10807,昆明,翠湖公园,3203
10807,昆明,滇池,3157
10807,昆明,云南大学,2201
10807,昆明,石林风景区,2672
10807,昆明,东川红土地景区,501
174170,策勒县,买力克阿瓦提故城,1
35641,香炉寺,香炉寺,83
18045,西夏王陵,西夏王陵,941
16651,大河沿,没有,0
14499,商丘,商丘古城,127
14499,商丘,芒砀山,103
14499,商丘,梁孝王墓,19
14499,商丘,应天府书院,52
14499,商丘,张巡祠,43
10121,泸沽湖,泸沽湖,5770
10121,泸沽湖,洛洼码头,171
10121,泸沽湖,蒗放,29
10121,泸沽湖,洛克岛(嬉娃俄岛/湖心岛),71
10121,泸沽湖,达祖码头,85
14186,平顶山,尧山,156
14186,平顶山,中原大佛景区,76
14186,平顶山,舞钢二郎山,38
14186,平顶山,白龟山水库(平西湖),42
14186,平顶山,画眉谷景区,24
16933,冰晶顶,冰晶顶(静峪脑),4
17362,昆山,周庄古镇,2638
17362,昆山,锦溪古镇,418
17362,昆山,阳澄湖,417
17362,昆山,千灯古镇,291
17362,昆山,张厅,339
11773,泰州,千岛油菜花景区,352
11773,泰州,李中水上森林公园,149
11773,泰州,溱湖国家湿地公园,209
11773,泰州,泰州老街,196
11773,泰州,凤城河风景区,40
10733,济源,王屋山,80
10733,济源,小沟背景区,39
10733,济源,济源黄河三峡,40
10733,济源,黛眉山地质公园,14
10733,济源,五龙口风景区,27
10482,香格里拉,普达措国家公园,3352
10482,香格里拉,噶丹·松赞林寺,2039
10482,香格里拉,纳帕海,1597
10482,香格里拉,独克宗古城,1882
10482,香格里拉,石卡雪山,422
14458,兴化,千岛油菜花景区,352
14458,兴化,李中水上森林公园,149
14458,兴化,郑板桥故居,42
14458,兴化,兴化老街,39
14458,兴化,千岛菜花风景区,10
32080,驻马店,嵖岈山,90
32080,驻马店,南海禅寺,25
32080,驻马店,薄山湖风景区,14
32080,驻马店,天中山广场,10
32080,驻马店,白云山风景区,8
24878,南五台山,南五台景区,13
24878,南五台山,南五台山,37
18234,翠华山,翠华山,305
10809,西双版纳,中国科学院西双版纳热带植物园,748
10809,西双版纳,曼听公园,846
10809,西双版纳,西双版纳野象谷,874
10809,西双版纳,西双版纳原始森林公园,775
10809,西双版纳,望天树景区,468
64164,林州,太行大峡谷,159
64164,林州,红旗渠,162
64164,林州,太行山风景区,42
64164,林州,桃花谷景区,46
64164,林州,太行屋脊风景区,29
17986,五彩湾,五彩湾,90
10554,太湖,鼋头渚,2108
10554,太湖,太湖,965
10554,太湖,灵山胜境风景区,703
10554,太湖,拈花湾,287
10554,太湖,中央电视台无锡影视基地,914
10651,腾冲,和顺古镇,1076
10651,腾冲,腾冲热海,735
10651,腾冲,腾冲火山地热国家地质公园,559
10651,腾冲,银杏村,339
10651,腾冲,腾冲北海湿地,359
25503,漯河,许慎文化园,12
25503,漯河,南街村,23
25503,漯河,沙澧风景游览区,18
25503,漯河,开源森林公园,22
25503,漯河,漯河大学,14
15950,双廊,玉几岛,856
15950,双廊,大建旁村,217
15950,双廊,岛依旁渔村,89
15950,双廊,双廊魁星阁,56
15950,双廊,玉几岛,10
11347,江布拉克,江布拉克,170
24202,镇北堡影视城,月亮门,129
10157,常熟,尚湖,249
10157,常熟,沙家浜风景区,231
10157,常熟,虞山国家森林公园,187
10157,常熟,兴福寺,66
10157,常熟,剑门景区,55
10018,束河,束河古镇,6622
10018,束河,雪山艺术小镇,23
10018,束河,青龙桥,31
10018,束河,雪山市集,5
10018,束河,茶马王故居纪念馆,2
64199,辉县,万仙山景区,254
64199,辉县,郭亮村,381
64199,辉县,郭亮隧道,189
64199,辉县,宝泉风景区,39
64199,辉县,南坪,106
10436,甪直,保圣寺,48
10436,甪直,叶圣陶纪念馆,58
10436,甪直,万盛米行,81
10436,甪直,萧宅,54
10436,甪直,江南文化园,47
12430,关山牧场,没有,0
10819,台北,台北故宫博物院,6274
10819,台北,101大楼,4353
10819,台北,中正纪念堂,2745
10819,台北,宁夏夜市,1990
10819,台北,饶河街夜市,1333
19265,博斯腾湖,没有,0
13756,淮安,周恩来纪念馆,168
13756,淮安,周恩来故居,122
13756,淮安,古镇河下,56
13756,淮安,淮安府署,46
13756,淮安,明祖陵,54
16684,巩义,康百万庄园,136
16684,巩义,巩义石窟寺,66
16684,巩义,北宋皇陵,54
16684,巩义,杜甫故里,31
16684,巩义,浮戏山雪花洞景区,27
16585,鳌山,没有,0
21434,垦丁,垦丁大街/垦丁大街夜市,3082
21434,垦丁,鹅銮鼻公园,2309
21434,垦丁,后壁湖海鲜市场(已重新開放...,802
21434,垦丁,龙磐公园,1674
21434,垦丁,白沙湾海滩,1763
15820,盐城,大丰麋鹿国家级自然保护区,80
15820,盐城,盐城国家级珍禽自然保护区,48
15820,盐城,水街,64
15820,盐城,大纵湖,39
15820,盐城,荷兰花海,37
12658,法门寺,法门寺,847
14445,周口,太昊伏羲陵,65
14445,周口,龙湖景区,30
14445,周口,鹿邑太清宫,12
14445,周口,周口关帝庙,15
14445,周口,老子故里,9
17979,卡拉库里湖,没有,0
15325,花莲,太鲁阁公园,2334
15325,花莲,七星潭,3137
15325,花莲,清水断崖,1979
15325,花莲,瑞穗牧场,1135
15325,花莲,石梯坪,364
50311,溧阳,南山竹海,511
50311,溧阳,天目湖,433
50311,溧阳,涵田半山温泉度假村,44
50311,溧阳,金坛茅山,21
50311,溧阳,天目湖有机鱼头,63
11484,濮阳,戚城文物景区,22
11484,濮阳,中原绿色庄园,30
11484,濮阳,新蕾公园,19
11484,濮阳,濮上园,22
11484,濮阳,濮阳挥公陵舜帝宫景区,12
84751,江宁,爱情隧道,81
84751,江宁,汤山颐尚温泉,183
84751,江宁,佛顶宫,15
84751,江宁,汤山一号温泉,52
84751,江宁,南京明文化村(阳山碑材),31
18046,水洞沟,水洞沟,683
11416,锦溪,中国古砖瓦博物馆,15
11416,锦溪,文昌阁,15
11416,锦溪,天水桥,4
11416,锦溪,柿园,1
11416,锦溪,金石人家,2
11065,高雄,捷运美丽岛站光之穹顶,1978
11065,高雄,西子湾风景区,863
11065,高雄,驳二艺术特区,1188
11065,高雄,旗津半岛,672
11065,高雄,瑞丰夜市,674
12251,江阴,华西村,173
12251,江阴,黄山湖公园,31
12251,江阴,鹅鼻嘴公园,46
12251,江阴,江阴嘉茂国际花鸟园,14
12251,江阴,江阴大桥,38
16814,统万城,统万城,102
24270,鹤壁,云梦山,35
