评论,日期,评分,城市,昵称
完全不知道演什么，从来没看过这么差劲的片子～,2018-07-21,2.0,长沙,sealina_guo
"电影放了15分钟的时候。脱口而出：这太**姜文了。
别看故事，别考虑情节。就细细品味姜文的牛批就行了！
HIDDEN MAN 这英文表达更适合原著《俠隐》",2018-07-21,4.5,北京,起什么昵称
姜文特有的那种在某些事的高调处理以及人物特写上，的确非常独特！不是一般人可以试出的烈酒！,2018-07-21,4.0,广州,浪雨257
很好啊 不错,2018-07-21,5.0,昆明,陈明881
无厘头的台词不味道，和《药神》没法比,2018-07-21,2.5,桐庐,丽珍928
好看，意犹未尽，反派干脆利落，惨烈的剧情却配了雄伟的交响乐，优美的享受着就看完了整部片子。,2018-07-21,5.0,晋中,LOST2631
片子真好，很明显的姜文节奏！给它9分，给10分怕姜文骄傲！,2018-07-21,4.5,包头,yCj689705576
喜欢姜文的可能喜欢，不喜欢这种表现方式的可能很不喜欢。,2018-07-21,4.0,北京,starlynch
和爸妈一起看的～可能智商不够吧，除了彭于晏的主线我对其他很多人物线都没太摸透。。,2018-07-21,4.0,安庆,梅梅酱0501
哎呦，不错呦,2018-07-21,5.0,天津,NpJ513534080
完全看不懂主线剧情，有点无厘头的黑色幽默,2018-07-21,1.5,贵阳,齐的隆冬强
跟不上21世纪电影的节奏了，回家，睡觉,2018-07-21,3.0,成都,ADC蛮王
说实话，笑点有点低,2018-07-21,2.5,廊坊,wVW460042600
懒得长篇大论 好看 18禁,2018-07-21,4.5,西安,好吃还是饺子
还可以，就是结局感觉不太完美😂,2018-07-21,4.0,苏州,WST1759007364
比一般的套路电影还是精彩多了。,2018-07-21,4.5,深圳,NQK451955353
完全不知道演什么，从来没看过这么差劲的片子～,2018-07-21,2.0,长沙,sealina_guo
"电影放了15分钟的时候。脱口而出：这太**姜文了。
别看故事，别考虑情节。就细细品味姜文的牛批就行了！
HIDDEN MAN 这英文表达更适合原著《俠隐》",2018-07-21,4.5,北京,起什么昵称
姜文特有的那种在某些事的高调处理以及人物特写上，的确非常独特！不是一般人可以试出的烈酒！,2018-07-21,4.0,广州,浪雨257
很好啊 不错,2018-07-21,5.0,昆明,陈明881
无厘头的台词不味道，和《药神》没法比,2018-07-21,2.5,桐庐,丽珍928
好看，意犹未尽，反派干脆利落，惨烈的剧情却配了雄伟的交响乐，优美的享受着就看完了整部片子。,2018-07-21,5.0,晋中,LOST2631
