,评论,日期,评分,城市,昵称
0,完全不知道演什么，从来没看过这么差劲的片子～,2018/7/21,2.0,长沙,sealina_guo
1,"电影放了15分钟的时候。脱口而出：这太**姜文了。
别看故事，别考虑情节。就细细品味姜文的牛批就行了！
HIDDEN MAN 这英文表达更适合原著《俠隐》",2018/7/21,4.5,北京,起什么昵称
2,姜文特有的那种在某些事的高调处理以及人物特写上，的确非常独特！不是一般人可以试出的烈酒！,2018/7/21,4.0,广州,浪雨257
3,很好啊 不错,2018/7/21,5.0,昆明,陈明881
4,无厘头的台词不味道，和《药神》没法比,2018/7/21,2.5,桐庐,丽珍928
5,好看，意犹未尽，反派干脆利落，惨烈的剧情却配了雄伟的交响乐，优美的享受着就看完了整部片子。,2018/7/21,5.0,晋中,LOST2631
6,片子真好，很明显的姜文节奏！给它9分，给10分怕姜文骄傲！,2018/7/21,4.5,包头,yCj689705576
7,喜欢姜文的可能喜欢，不喜欢这种表现方式的可能很不喜欢。,2018/7/21,4.0,北京,starlynch
8,和爸妈一起看的～可能智商不够吧，除了彭于晏的主线我对其他很多人物线都没太摸透。。,2018/7/21,4.0,安庆,梅梅酱0501
9,哎呦，不错呦,2018/7/21,5.0,天津,NpJ513534080
10,完全看不懂主线剧情，有点无厘头的黑色幽默,2018/7/21,1.5,贵阳,齐的隆冬强
11,跟不上21世纪电影的节奏了，回家，睡觉,2018/7/21,3.0,成都,ADC蛮王
12,说实话，笑点有点低,2018/7/21,2.5,廊坊,wVW460042600
13,懒得长篇大论 好看 18禁,2018/7/21,4.5,西安,好吃还是饺子
14,还可以，就是结局感觉不太完美??,2018/7/21,4.0,苏州,WST1759007364
15,比一般的套路电影还是精彩多了。,2018/7/21,4.5,深圳,NQK451955353
45,“蓝爸爸”这得很洗脑,2018/7/21,5.0,兰州,沈清欢99
104,还行吧！！！！,2018/7/21,4.5,兰州,udE830063077
119,不错！挺好看！,2018/7/21,5.0,阜宁,Krz192990611
149,给三分，其中***一分辛苦分，拍得可***太好了！70%的时间我都是黑人??逻辑呢？？呢？呢。,2018/7/21,0.5,贵阳,Qiakema
164,恶心……恶心……恶心……恶心……,2018/7/21,1.0,衢州,hng573037482
179,一b吊遭什么玩意,2018/7/21,2.5,南京,星空遥翰
194,挺好的，黑色幽默，讽刺有意思,2018/7/21,4.5,锦州,zEd140628946
209,满分，就是喜欢这么姜文的片子,2018/7/21,5.0,防城港,IPO44
269,动作戏比较好，剧情比较大众。,2018/7/21,1.5,长沙,周张智
284,期望越大失望越大，没有看到曾经的姜文。,2018/7/21,3.0,东莞,轻描淡写991
314,垃圾片，被评分骗了,2018/7/21,0.5,成都,PfZ261603640
344,一般般 啊哈哈 哈哈,2018/7/21,4.0,深圳,leeguanjun530
374,剧情扑朔迷离 姜文导演的特点发挥的淋漓尽致 故事没有结局,2018/7/21,5.0,南通,TUAN想NI爱
389,还行，肖斯塔科维奇很棒。,2018/7/21,4.5,亳州,jewel3223
404,嗯 很姜文 不大众,2018/7/21,3.0,北京,汇琰
419,严肃中带着幽默,2018/7/21,5.0,北京,MlA309826829
434,没大看懂！文化程度太底！,2018/7/21,1.0,湛江,wuyunsheng840
449,觉得不好看大概是因为看不懂里边的梗和讽刺点。学而时习之，不亦说乎,2018/7/21,5.0,包头,齐
464,乱七八糟 稀里糊涂 逻辑不明 叙事不清 跳梁小丑 靠彭于晏的脸和身材也撑不起这部电影,2018/7/21,0.5,开封,Ezzzzzi
659,??《邪不压正》~~不凡    痛快，震撼，节奏紧凑，不拖泥带水，直奔主题，男人的视角和纯爷们的个性展现，视听效果极具挑战性，演员阵容强大，内功深厚，剧情和人物融合的精彩到位，值得观赏！男人的视角看女人的妩媚，品女人的纯情，读女人的胸怀！男性的果敢和尊严超越了对事物表面的理解与表达，为了信念不惜一切代价，国仇家恨牢记心间，磨砺锤炼重拳出击，有勇有谋男人气概，悬念突起诱敌深入，驱除鞑虏为我中华，正邪对垒邪不压正！……影片暗藏创作者的个性特点，诙谐幽默，轻松愉快，冷笑话，抖包袱，暗藏其间，演员对所塑造的人物个性把握到位，纵观全剧影片整体风格独特，魅力十足！……??……,2018/7/21,5.0,哈尔滨,wdV142360566
689,真实，而且搞笑,2018/7/21,5.0,南京,SFk520451201
704,"有点看不懂意思
",2018/7/21,3.5,桃源,东50970
719,这是喜剧开玩笑的吧？？,2018/7/21,4.0,重庆,paa579003164
734,姜文。你到底会不会拍电影。血腥和垃圾脱节剧情和色情剧情还会什么。真的杀人和杀猪一样。别出来圈钱了。中国电影的悲哀。只会装大爷瞎拍！,2018/7/21,0.5,奉化,john2835
749,剧情有点深奥,2018/7/21,3.0,深圳,yOR838603366
764,沒看時就看到鋪天蓋地的報導 姜文又玩個性之類的。其實影片的觀賞性很強 人物鋪陳較完整 但敘事上確實有些跳躍。總體而言仍是較好的作品。,2018/7/21,4.0,珠海,張帆wawa
779,这真是我看过最长的电影,2018/7/21,0.5,义乌,KWV948623544
794,非常之好看！,2018/7/21,4.5,郑州,一赛舍
854,超好看，彭于晏好帅,2018/7/21,5.0,太原,NvZ337402767
899,说不上来到底好不好看?? ，主要是没搞懂电影要表达什么,2018/7/21,4.0,广州,寶聚號金
914,叙事有点乱。剧情，很多无厘头的地方。搞笑是可以的。但是总体上，还不够蒙太奇的高大上。,2018/7/21,3.5,南昌,缄默6629
1004,真的不好看??,2018/7/21,0.5,沭阳,neF668532086
