评论,日期,评分,城市,昵称
非常非常非常好看,2018-08-08,5.0,镇江,wJz676023603
不好看，表示没看懂，有一半的人睡着了，还有不少中途走了，坚持看到最后，结束一脸懵～,2018-08-08,0.5,诸城,Alisa2421
给观众足够的空间。,2018-08-08,4.5,昆明,Minkok
值得二刷，不过分煽情,2018-08-08,4.5,贵阳,ynN962597888
完全看不懂，从头到尾，,2018-08-08,2.0,阳江,杨dajie
全程压抑，精彩的类型电影,2018-08-08,4.5,重庆,Haz239247155
很好看，完美,2018-08-08,4.5,惠东,翩翩我公子
"好久沒有看日劇了，一如既往的溫情細膩！最後一個鏡頭爬在圍欄上的那只凍的紅彤彤的小手，深深刻在了腦海中，無助～孤獨～渴望～無賴～
人是群居動物，讀那麽多書～創造那麽多文明是為了更和諧的一起生活，可是為什麼現實生活卻越來越事與願違了呢？情趣相投的人就一起生活吧～管他有沒有血缘關係呢～",2018-08-08,4.5,彭州,RiV579156195
看了网上介绍获得电影戛纳电影奖，来放松一下，一部扣人心弦的生活片，音乐不多，点缀到位，生动刻画真实又心😓 。票价太高38元，只有4人，很是浪费为4人播放，如果票价再亲民一点打对折，可以让更多想看的人去，这样即不浪费资源又有教育意义。,2018-08-08,4.5,上海,jin7875
初看悲惨，回想温暖,2018-08-08,3.5,广州,uGU563269492
不好看 垃圾,2018-08-08,0.5,上海,FTv947528891
原来五个人的爱也仅仅是外人所说的”诱拐”啊,2018-08-08,4.5,上海,DUc921519772
强推，想二刷,2018-08-08,5.0,焦作,tq晴天xmas
有深度不错啊,2018-08-08,4.5,广州,JOE126459
只能说，日本电影这种克制的镜头和节奏，细腻的娓娓道来的风格，不太是我的菜。但是电影是好的，毋庸置疑。,2018-08-08,4.0,武汉,sophie
"是枝裕和的电影，非常好。
横店影城，恶评！！！超级恶评！！（想骂人的那种愤怒）电影没放映完，影厅门开了竟然没有工作人员把门关起来，大厅放的音乐声音都传了进来，非常影响观影！",2018-08-08,4.5,呼伦贝尔,qYv930164849
还是比较温情基调的片子，没有血缘关系的一家人，在一个屋檐下却活得很真实！结尾处还是有些惋惜，这一家子不能永远在一起😔,2018-08-08,4.5,宁波,EJI417468800
很写实，像是中国不卖座的文艺片。只是进展很慢，有转折但伏笔不易连接。,2018-08-08,4.0,宿迁,亦尘293
不好看，结局不知道是什么鬼东东,2018-08-08,1.5,永州,kSw604166700
很日本的一部片，后半段有些让人觉得过于压抑。很喜欢电影稍微有点灰但很有质地的胶片感，不得不说其中几个嘴形代替声音对于情感的表达非常能体现导演的水平了,2018-08-08,4.5,温岭,TWw678419239
感人 暖心 真实,2018-08-08,5.0,铜川,很余温
很棒我觉得，喜欢这位导演,2018-08-08,4.0,玉溪,Echo杨171
有这部电影还是很值得推荐的，单从社会规范的角度来说都是一群问有问题的人，他们也正是这样的普通人，充满着浓浓的人情味，有点小自私，有点小温暖，有点小谎言，同时也充满大大的爱，值得推荐,2018-08-08,5.0,上海,roO489389018
究竟哪个更重要？血缘？爱？,2018-08-08,5.0,乌鲁木齐,魔之身佛之心
看不懂，太深,2018-08-08,2.0,金华,cpc0134571632267
家庭题材的电影，日本因为是枝裕和而高人一等！,2018-08-08,5.0,潜江,qyY609758167
影片可以的，就是删减的太奇葩，莫名其妙结束了都没有到9点45分。,2018-08-08,3.5,临安,pjE748275479
内容差的一米，总场就是吃饭，没有重点,2018-08-08,0.5,南京,sSs648234203
