,评论,日期,评分,城市,昵称
0,好看加四个字,2018-08-04,5.0,松原,LFb105221916
1,良心制作，大手笔！视觉冲击感强烈，听觉和视觉上都有很大的震撼,2018-08-04,5.0,重庆,1997。355
2,情节就是画江湖的风格，略带诙谐，笑点不够，且比较初级，个人英雄风格，期待西虹市首富,2018-08-04,4.0,西安,lra81754849
3,刚开始看有点失望，可能起初对它抱有太大期望，不过笑点还可以，画风很让我失望，国漫崛起还需时日。,2018-08-04,3.5,萧县,DdY585184257
4,原谅我只记住了一句台词，原来你真的是零😄……,2018-08-04,5.0,西安,任庚晨
5,很不错的一部动画片，充满正能量，适合带小孩子去看,2018-08-04,5.0,晋江市,AQ356
6,好感动，这电影不错哦,2018-08-04,4.5,广州,WEO924017476
7,"国产动画的制作水平越来越高了啊啊啊啊心酸的老父亲快要流下泪。
要说3D效果，国产的动画已经超越国产电影了，比我上一次看又进步了好多，动作流畅度和人物表情的真实感强了不是一点两点太激动了，整个画面都棒极了，没有粗糙烂制的劣质感。
要说缺点的话，剧本没毛病，虽然有个别点看起来愚蠢，比如说每一届的侠岚都很菜这一点，不想吐槽了……但是饕鬄和小怪兽的设定棒极了，非常优秀，国产敢这么玩的它还是第一个，伏笔下得也恰到好处。
另一个缺点就是背景音乐，第一段歌简直……让人不想说话，是真的辣鸡。
要不是我知道国产动画和迪士尼是同一个世界同一个梦想我都要哭出来了不，我是真的哭了。",2018-08-04,4.0,成都,叶泽丞
8,非常不错！！值得一看！,2018-08-04,5.0,天津,huyuefeng1
9,国产极品，画风 特效也达到极致了。后期剧情进展略迅速，不过不影响。,2018-08-04,5.0,邢台,清泉5137
10,特效很棒，故事性也高，良心作品。立意不错，原画优美。镜头切换稍显不足。支持侠岚！,2018-08-04,4.0,兰州,mQD780793841
11,很好看😀😀感动得一塌糊涂！第一次看国漫大片！沒想到这么好看😀😀支持,2018-08-04,5.0,常熟,追逐......
12,超级好看，我一定要把侠岚刷一遍,2018-08-04,5.0,东莞,花h开不记年
13,整体不错了，其中故事性有待完善,2018-08-04,4.5,三河,nlZ474754463
14,怎么说呢，电影听没多大，不过就我们两个人在看。可安静,2018-08-04,3.5,郑州,ctY782049176
29,去迟了一点，前几分钟没看到，之后看到的还不错,2018-08-04,4.5,咸阳,ZmP715392816
44,国产动漫电影迄今为止第一。,2018-08-04,4.5,上海,dUP208532919
74,太好了，良心国漫，要笑有笑，要泪又泪，就是有点急，要是时长长点，情节细一点简直完美！！！！！！！,2018-08-04,4.5,葫芦岛,NHq315241368
89,真不错   值得看,2018-08-04,5.0,哈尔滨,YyU694737311
104,剧情不错，感人至深,2018-08-04,5.0,抚州,wjjae119
119,比大圣归来更容易看懂，故事动画制作挺不错，但是内容我觉得8分吧，总觉得少点什么(个人见解)，要表现的主题也明显，值得一看，支持国漫，希望越做越精彩，能有更多好的作品。,2018-08-04,4.5,长沙,Wav426705735
134,很不错的国漫！,2018-08-04,4.5,廊坊,囧2477
149,看完了，我只能很平静的说一句，太他么好看了！！风趣幽默的地方多，和梅姐的地方把我一个大男人看哭了！！不懂为什么拍片这么少,2018-08-04,5.0,上海,LtX927929112
179,良心之作，还看哭了,2018-08-04,5.0,福安,诗意栖居的Kinba
194,这个剧情真的是不想吐槽，配角有性格？？？咋没点剧情呢。。。女主角咋变成坏人的咋也不说呢？男主角咋一跳就比修炼几十年的人牛逼呢。。为啥女主角后面又凭空回来了，不是死了吗？真是想疯狂吐槽，看这电影哭了两次，本来都是他妈和女主死了，就这么回来了，真是无语了，画面做的不错，剧情真是无语死了,2018-08-04,1.5,巴中,bPI800186849
209,"所谓父母子女一场，都是生死之交。
国漫已经雄起~
适合全家总动员~笑点泪点一个都不少~
最佳配角必须王富贵~",2018-08-04,5.0,北京,兔兔兔兔淘
224,确实不错，国产动漫的良心之作！,2018-08-04,5.0,上海,yWC848467754
239,电影不错，感动,2018-08-04,4.5,乌鲁木齐,我的小HONEY
254,国漫崛起很快，若森的作品看过很多，每一个都很棒,2018-08-04,5.0,鞍山,超人不哭6260
269,画面精致，剧情走心，除了动作场面不太流畅之外，没太多瑕疵。国产动画巅峰。,2018-08-04,5.0,南通,joe-w12
284,真的很经典。,2018-08-04,5.0,昆明,HTg295203511
299,国产电影的标杆。。。,2018-08-04,5.0,石家庄,SincePfect
314,超级好看  一会笑喷一会哭的不行  😊😊😊值得看多几遍,2018-08-04,5.0,广州,Dqu936750066
374,良心国产动漫,2018-08-04,5.0,上海,夏树8023
389,打斗特效做的不错可以太少，结局有些失望，感觉潦草收场。不过作为中国3D动漫还是相当不错的，故事情节很有童趣，三观健康。,2018-08-04,3.5,惠安,mOS708967328
404,很好看，正能量，可以全家人带孩子看,2018-08-04,5.0,石家庄,ZXd447929751
434,好评好评好评好评,2018-08-04,5.0,常德,几时。445
449,还行，第一次去电影院看动画片。,2018-08-04,5.0,岳阳,TbB812389440
479,电影制作非常精良，故事很完整，看完之后还想二刷，强烈推荐！真的好看,2018-08-04,5.0,北京,李振伟837
509,有泪点，有笑点，国产动漫电影做到这样，很赞！3d效果做的再好点就更赞了！,2018-08-04,4.5,大连,sakura丶
524,就应该让孩子看这种有意义的动画,2018-08-04,5.0,郑州,我我弄
569,很感人！正义！,2018-08-04,5.0,石家庄,眼泪笑了470
584,没有让我失望，真的喜欢，我的朋友圈最新属于你了,2018-08-04,5.0,绵阳,俺妹赛高
599,细节还是不错的,2018-08-04,5.0,宜宾,可惜462
614,我觉得 结局不完整！,2018-08-04,5.0,宜宾,BAg912207473
644,好看，燃烧我的仙侠梦了。,2018-08-04,5.0,富阳,LJP445214313
659,不错，就是最后结尾打饕鬄太草率了！！！,2018-08-04,0.0,上海,syg365
674,很好看，今年最好看的一部,2018-08-04,4.5,天门,独舞856
704,挺好看，虽然剧情啥的可以猜到，不过，国产的，真的很突破,2018-08-04,5.0,北京,灰太狼饭团
734,不错，是一部良心动画,2018-08-04,5.0,兰州,樱烙
749,不错的，画质很好，情节很感人,2018-08-04,5.0,济南,晨曦恺
764,跳崖学武功，最终boss一招秒，中间还有一段让我以为自己在看狮子王，但是国漫拍成这样已经让我很惊艳了，很喜欢影片塑造的女主形象,2018-08-04,5.0,廊坊,Kev762550014
779,动漫电影，超越了,2018-08-04,5.0,银川,Ojd447538276
794,很不错，侠岚出良品！,2018-08-04,5.0,上海,帅92
809,搞笑   也很现实  画面感也非常好的  ,2018-08-04,5.0,绍兴,斯心i
824,很好看的国产动画片,2018-08-04,4.5,北京,RHU834228224
839,陪伴我六年的侠岚，真的很感动♡♡就是剧情转换的有点僵硬，但打斗什么的斗超棒的,2018-08-04,5.0,佛山,CMF326913266
854,挺不错的，哈哈,2018-08-04,4.0,十堰,哈哈哈77739
884,好看不做作。,2018-08-04,5.0,济南,萄菇凉198
899,直观感受：国漫在进步，故事讲的也挺好的，有喜有悲，老少皆宜，看完心情也很不错。,2018-08-04,4.5,咸阳,请叫我毛小小
914,买了票没时间看,2018-08-04,2.5,南京,无用户公名
929,真的很喜欢，特别好看,2018-08-04,5.0,藁城,iUr240202121
959,打斗场面不是想象中那么多   剧情很好  有笑点有泪点  是我看过最好看的国漫了  强力推荐去看,2018-08-04,5.0,南宁,EUi862601289
1004,为路老师打call,2018-08-04,4.0,漳州,雅殊614
1049,超好看的电影，3D效果很好。看完决定回家追侠岚😝,2018-08-04,5.0,长治,冰颖玥
1064,国漫，有其他电影特有的中国文字的魅力,2018-08-04,5.0,南昌,小麦熟了么
1079,男主配音没有边江大大好，祭祀那段配乐笑skr 人了嘎嘎,2018-08-04,3.5,慈溪,XiK795652948
1109,还不错，孩子表示喜欢,2018-08-04,4.0,济南,BsC280888509
1138,重返侠岚，找回童年，很有感触，值得一看！,2018-08-04,5.0,西安,阿凡达684
