name,role,info
姜梓新,明玉,"['', '籍贯', '', '身高', '165cm', '体重', '46kg', '职业', '演员', '生日', '1996年3月11日', '星座', '双鱼座', '性别', '', '血型', '', '三围', '', '']"
吴谨言,魏璎珞,"['', '籍贯', '中国', '身高', '165cm', '体重', '', '职业', '演员', '生日', '', '1990-8-16', '星座', '狮子座', '性别', '', '血型', '', '三围', '', '']"
王冠逸,海兰察,"['', '籍贯', '', '身高', '178cm', '体重', '70kg', '职业', '演员、歌手', '生日', '1988年8月5日', '星座', '狮子座', '性别', '', '血型', '', '三围', '', '']"
洪尧,爱新觉罗·弘昼,"['', '籍贯', '', '身高', '182CM', '体重', '65KG', '职业', '演员', '生日', '1989年3月19日', '星座', '双鱼', '性别', '', '血型', 'O型', '三围', '', '']"
李若宁,陆晚晚,"['', '籍贯', '', '身高', '', '体重', '49kg', '职业', '演员', '生日', '', '星座', '天秤座', '性别', '', '血型', '', '三围', '', '']"
谭卓,高宁馨,"['', '籍贯', '中国', '身高', '165cm', '体重', '', '职业', '演员', '生日', '', '1983-9-25', '星座', '天秤座', '性别', '', '血型', '', '三围', '', '']"
练练,愉贵人,"['', '籍贯', '', '身高', '168cm', '体重', '50kg', '职业', '演员', '生日', '10月24日', '星座', '天蝎座', '性别', '', '血型', '', '三围', '', '']"
苏青,尔晴,"['', '籍贯', '湖南省衡阳市', '身高', '168cm/5.5英尺', '体重', '47kg/104磅', '职业', '演员，主持人', '生日', '1989-07-05', '星座', '巨蟹座', '性别', '女', '血型', '未知', '三围', '', '']"
李春嫒,纳兰淳雪,"['', '籍贯', '', '身高', '163cm', '体重', '43kg', '职业', '演员', '生日', '1月2日', '星座', '摩羯座', '性别', '', '血型', '', '三围', '', '']"
施予斐,芝兰,"['', '籍贯', '中国', '身高', '172cm', '体重', '', '职业', '演员,歌手', '生日', '', '1986-6-5', '星座', '双子座', '性别', '', '血型', '', '三围', '', '']"
潘时七,嘉嫔,"['', '籍贯', '湖北省武汉市', '身高', '169cm/5.5英尺', '体重', '45kg/99磅', '职业', '演员', '生日', '', '星座', '', '性别', '女', '血型', 'a型', '三围', '', '']"
张嘉倪,顺嫔,"['', '籍贯', '四川成都市', '身高', '164cm/5.4英尺', '体重', '48kg/106磅', '职业', '演员，歌手', '生日', '1987-06-22', '星座', '巨蟹座', '性别', '女', '血型', 'o型', '三围', '', '']"
许凯,富察·傅恒,"['', '籍贯', '', '身高', '', '体重', '', '职业', '演员', '生日', '1995年2月5日', '星座', '', '性别', '', '血型', '', '三围', '', '']"
秦岚,富察·容音,"['', '籍贯', '辽宁省沈阳市沈河区', '身高', '165cm/5.4英尺', '体重', '46kg/101磅', '职业', '演员，歌手', '生日', '1981-07-17', '星座', '巨蟹座', '性别', '女', '血型', 'b型', '三围', '', '']"
王媛可,苏静好,"['', '籍贯', '山东省烟台市', '身高', '167cm/5.5英尺', '体重', '48kg/106磅', '职业', '演员', '生日', '1984-04-01', '星座', '白羊座', '性别', '女', '血型', 'o型', '三围', '', '']"
佘诗曼,辉发那拉·淑慎,"['', '籍贯', '广东省中山市', '身高', '165cm/5.4英尺', '体重', '44kg/97磅', '职业', '演员', '生日', '1975-05-28', '星座', '双子座', '性别', '女', '血型', 'a型', '三围', '32，22，33', '']"
聂远,爱新觉罗·弘历,"['', '籍贯', '山东省', '身高', '179cm/5.9英尺', '体重', '65kg/143磅', '职业', '演员', '生日', '1978-03-17', '星座', '双鱼座', '性别', '男', '血型', 'o型', '三围', '', '']"
