data-id,城市,美食,票数
28261,恰西,没有,0
24660,栾川,没有,0
10446,宜兴,没有,0
10186,丽江,腊排骨,1659
10186,丽江,水性杨花,995
10186,丽江,酥油茶,727
10186,丽江,鸡豆凉粉,709
10186,丽江,黑山羊火锅,561
10186,丽江,汽锅鸡,250
10186,丽江,野生菌,223
10186,丽江,杜鹃花炒蛋,16
11558,南通,没有,0
17362,昆山,没有,0
10487,大理,破酥粑粑,792
10487,大理,饵丝,622
10487,大理,三道茶,445
10487,大理,凉鸡米线,274
10487,大理,酸辣鱼,244
10487,大理,砂锅鱼,106
10487,大理,生皮,62
10487,大理,弓鱼,43
10487,大理,卷蹄,4
10487,大理,腌螺蛳,1
15992,塔尔寺,没有,0
10807,昆明,老奶洋芋,276
10807,昆明,汽锅鸡,140
10807,昆明,云南米线,42
10807,昆明,烧饵块,40
10807,昆明,大救驾,20
10807,昆明,野山菌,9
10807,昆明,豆焖饭,8
10807,昆明,路南乳饼,1
10807,昆明,紫米八宝饭,1
10121,泸沽湖,猪膘肉,213
10121,泸沽湖,咣当酒,101
10121,泸沽湖,酥理玛酒,85
10121,泸沽湖,烤鱼干,7
10121,泸沽湖,花花糖,6
10121,泸沽湖,苦荞粑粑,3
10121,泸沽湖,猪血肠,2
10121,泸沽湖,砣砣肉,2
10121,泸沽湖,腌酸鱼,2
10121,泸沽湖,泡梨,1
13326,许昌,没有,0
10482,香格里拉,酥油茶,544
10482,香格里拉,酸奶,318
10482,香格里拉,青稞酒,254
10482,香格里拉,糌粑,75
10482,香格里拉,琵琶肉,16
14499,商丘,没有,0
11773,泰州,没有,0
11304,马牙雪山,没有,0
10809,西双版纳,水果,270
10809,西双版纳,烤鱼,159
10809,西双版纳,酸笋,24
10809,西双版纳,炸牛皮,12
10809,西双版纳,香竹饭,9
10809,西双版纳,罗嗦,8
10809,西双版纳,喃眯,3
14458,兴化,没有,0
10651,腾冲,大救驾,137
10651,腾冲,饵丝,126
10651,腾冲,稀豆粉,94
10651,腾冲,土锅子,83
