职位,经验,学历,公司,规模,月薪,地点
PHP开发工程师,1-3年,大专,珠海世纪鼎利科技股份有限公司,1000-9999人,8000,珠海
php程序员/php后台开发工程师,1-3年,不限,珠海蓝台风网络科技有限公司,20-99人,5000,珠海
php工程师/php后台开发程序员,1-3年,不限,珠海蓝台风网络科技有限公司,20-99人,5000,珠海
php开发工程师,1-3年,本科,珠海市万晟达科技发展有限公司,20-99人,11500,珠海
网站php开发工程师,3-5年,本科,珠海宝瑞装饰设计有限公司,20人以下,15000,珠海
php开发工程师,不限,大专,珠海经济特区伟思有限公司,100-499人,7000,珠海
php开发工程师,1年以下,本科,珠海唯创科技有限公司,20-99人,7000,珠海
PHP开发工程师,1-3年,大专,珠海聚云科技有限公司,20-99人,7000,珠海
PHP开发工程师,不限,不限,珠海金谷棒科技有限公司,20-99人,9000,珠海
PHP开发工程师,1-3年,不限,珠海文景科技有限公司,20-99人,15000,珠海
PHP开发工程师,1-3年,大专,珠海鑫隆宇电子科技有限公司,100-499人,9000,珠海
PHP高级开发工程师,不限,大专,遊澳集团有限公司,100-499人,11500,珠海
PHP开发工程师,1-3年,大专,珠海夏浪信息科技有限公司,20-99人,9000,珠海
PHP开发工程师,不限,不限,遊澳集团有限公司,100-499人,7500,珠海
php开发工程师,不限,大专,广东时代互联科技有限公司,100-499人,15000,珠海
php开发工程师（可实习）,不限,大专,珠海市上品科技有限公司,20人以下,7500,珠海
PHP软件开发工程师,3-5年,大专,珠海横琴博远中医药科技发展有限公司,20-99人,7500,珠海
后端开发工程师（go、PHP）,1-3年,大专,珠海鑫骏达科技工程有限公司,20-99人,7000,珠海
高级软件开发工程师-PHP,3-5年,大专,遊澳集团有限公司,100-499人,11500,珠海
PHP开发工程师,1-3年,大专,珠海市深蓝网络有限公司,20人以下,6500,珠海
PHP 开发工程师,3-5年,本科,珠海心云科技有限公司,20人以下,5500,珠海
PHP高级开发工程师,1-3年,本科,珠海市星域网络科技有限公司,20人以下,7000,珠海-香洲区
